qid,source,year,round,number,subject,question,option1,option2,option3,option4,option5,answer_no,answer_option,explanation
2021-R2-Q1,2021-R2,2021,2,1,유통물류일반,운송수단을 결정하기 전에 검토해야 할 사항에 대한 설명 으로 가장 거리가 먼 것은?,① 운송할 화물이 일반화물인지 냉동화물인지 등의 화물의 종류,② 운송할 화물의 중량과 용적,"③ 화물의 출발지, 도착지와 운송거리",④ 운송할 화물의 가격,⑤ 운송할 화물이 보관된 물류센터의 면적,5,⑤ 운송할 화물이 보관된 물류센터의 면적,2021-R2 A형 가답안 기준
2021-R2-Q2,2021-R2,2021,2,2,유통물류일반,SCM 관리기법 중 JIT(Just In Time)에 대한 내용으로 옳은 것은?,"① JIT는 생산, 운송시스템의 전반에서 재고부족으로 인한 위험 요소를 제거하기 위해 안전재고 수준을 최대화한다.",② JIT에서 완성품은 생산과정품(Work In Process)에 포함시키지만 부품과 재료는 포함시키지 않는다.,③ 구매측면에서는 공급자의 수를 최대로 선정하여 호혜 적인 작업관계를 구축한다.,"④ 수송단위가 소형화되고 수송빈도가 증가하므로 수송 과정을 효과적으로 점검, 통제하는 능력이 중요하다.",⑤ 창고설계 시 최대재고의 저장에 초점을 맞추는 것이지 재고이동에 초점을 맞추는 것은 아니다.,4,"④ 수송단위가 소형화되고 수송빈도가 증가하므로 수송 과정을 효과적으로 점검, 통제하는 능력이 중요하다.",2021-R2 A형 가답안 기준
2021-R2-Q3,2021-R2,2021,2,3,유통물류일반,운송에 관련된 내용으로 옳지 않은 것은?,① 해상운송은 최종목적지까지의 운송에는 한계가 있기 때문에 피시백(fishy back) 복합운송서비스를 제공한다.,② 트럭운송은 혼적화물운송(LTL: Less than Truckload) 상태의 화물도 긴급 수송이 가능하고 단거리 운송 에도 경제적이다.,③ 다른 수송형태에 비해 철도운송은 상대적으로 도착 시간을 보증할 수 있는 정도가 높다.,④ 항공운송은 고객이 원하는 지점까지의 운송을 위해 버디백(birdy back) 복합운송 서비스를 활용할 수 있다.,⑤ COFC는 철도의 유개화차 위에 컨테이너를 싣고 수송 하는 방식이다.,5,⑤ COFC는 철도의 유개화차 위에 컨테이너를 싣고 수송 하는 방식이다.,2021-R2 A형 가답안 기준
2021-R2-Q4,2021-R2,2021,2,4,유통물류일반,ROI에 대한 내용으로 옳지 않은 것은?,① 투자에 대한 이익률이다.,"② 순자본(소유주의 자본, 주주의 자본 혹은 수권자본)에 대한 순이익의 비율이다.",③ ROI가 높으면 제품재고에 대한 투자가 총이익을 잘 달성했다는 의미이다.,④ ROI가 낮으면 자산의 과잉투자 등으로 인해 사업이 성공적이지 못하다는 의미이다.,⑤ ROI가 높으면 효과적인 레버리지 기회를 활용했다는 의미로도 해석된다. 2급 A형 - 2,3,③ ROI가 높으면 제품재고에 대한 투자가 총이익을 잘 달성했다는 의미이다.,2021-R2 A형 가답안 기준
2021-R2-Q5,2021-R2,2021,2,5,유통물류일반,"아래 글상자는 포장설계의 방법 중 집합포장에 대한 설명 이다. ㉠과 ㉡에서 설명하는 용어로 가장 옳은 것은? ㉠ 수축 필름의 열수축력을 이용하여 팔레트와 그 위에 적재된 포장화물을 집합포장하는 방법 ㉡ 주로 생선, 식품, 청과물 등을 1개 또는 복수로 트레이에 올려 그 주위를 끌어당기면서 엷은 필름으로 덮어 포장 하는 방법","① ㉠ 밴드결속, ㉡ 테이핑","② ㉠ 테이핑, ㉡ 슬리브","③ ㉠ 쉬링크, ㉡ 스트레치","④ ㉠ 꺽쇠·물림쇠, ㉡ 골판지상자","⑤ ㉠ 접착, ㉡ 슬리브",3,"③ ㉠ 쉬링크, ㉡ 스트레치",2021-R2 A형 가답안 기준
2021-R2-Q6,2021-R2,2021,2,6,유통물류일반,도·소매 물류를 7R을 활용하여 효과적으로 관리하는 방법에 대한 설명으로 가장 옳지 않은 것은?,① 적절한 품질의 제품을 적시에 제공해야 한다.,② 최고의 제품을 저렴한 가격으로 제공해야 한다.,③ 좋은 인상으로 원하는 장소에 제공해야 한다.,④ 적정한 제품을 적절한 양으로 제공해야 한다.,⑤ 적시에 원하는 장소에 제공해야 한다.,2,② 최고의 제품을 저렴한 가격으로 제공해야 한다.,2021-R2 A형 가답안 기준
2021-R2-Q7,2021-R2,2021,2,7,유통물류일반,"31., 일부개정) 등 관련 법규에서 규정하고 있는 상가 임대료의 인상률 상한(청구당시의 차임 또는 보증금 기준) 으로 옳은 것은?",① 3%,② 4%,③ 5%,④ 7%,⑤ 9%,3,③ 5%,2021-R2 A형 가답안 기준
2021-R2-Q8,2021-R2,2021,2,8,유통물류일반,"인적자원관리에 관련된 능력주의와 연공주의를 비교한 설명으로 옳지 않은 것은? 구분 능력주의 연공주의 직무중심 사람중심 ㉠ 승진기준 (직무능력기준) (신분중심) 성과, 업적, 직무수행 연력, 경력, 근속년수, ㉡ 승진요소 능력 등 학력 등 ㉢ 승진제도 직계승진제도 연공승진제도 일반적으로 일반적으로 ㉣ 경영 전문직종의 보편화 일반직종의 보편화 내적요인 (절대적은 아님) (절대적은 아님) 승진관리의 불안정/ 승진관리의 안정성/ ㉤ 특성 능력평가의 객관성 객관적 기준 확보 가능 확보가 힘듦",① ㉠,② ㉡,③ ㉢,④ ㉣,⑤ ㉤ 2 -,5,⑤ ㉤ 2 -,2021-R2 A형 가답안 기준
2021-R2-Q9,2021-R2,2021,2,9,유통물류일반,포트폴리오 투자이론에 관련된 설명으로 옳지 않은 것은?,"① 포트폴리오란 투자자들에 의해 보유되는 주식, 채권 등과 같은 자산들의 그룹을 말한다.",② 포트폴리오 수익률은 개별자산의 수익률에 투자비율을 곱하여 모두 합한 값이다.,③ 포트폴리오 가중치는 포트폴리오의 총가치 중 특정 자산에 투자된 비율을 말한다.,"④ 체계적 위험은 주식을 발행한 각 기업의 경영능력, 발전가능성, 수익성 등의 변동가능성으로 개별주식 에만 발생하는 위험이다.",⑤ 비체계적 위험은 분산투자로 어느 정도 제거가 가능한 위험이다.,4,"④ 체계적 위험은 주식을 발행한 각 기업의 경영능력, 발전가능성, 수익성 등의 변동가능성으로 개별주식 에만 발생하는 위험이다.",2021-R2 A형 가답안 기준
2021-R2-Q10,2021-R2,2021,2,10,유통물류일반,"조직 내에서 이루어지는 공식, 비공식적인 의사소통의 유형과 그 설명이 가장 옳지 않은 것은?",① 개선보고서와 같은 상향식 의사소통은 하위계층에서 상위계층으로 이루어진다.,② 태스크포스(task force)와 같은 하향식 의사소통은 전통적 방식의 소통이다.,③ 다른 부서의 동일 직급 동료 간의 정보교환은 수평식 의사소통이다.,④ 인사부서의 부장과 품질보증팀의 대리 간의 의사소통은 대각선 방식의 의사소통이다.,⑤ 비공식 의사소통 채널의 예로 그레이프바인(grape vine)이 있다.,2,② 태스크포스(task force)와 같은 하향식 의사소통은 전통적 방식의 소통이다.,2021-R2 A형 가답안 기준
