priority,qid,source,number,subject,basis,score,frequent_match_count,core_match_count,noise_flags,question_preview,status,verified_answer,review_note
A,2022-R3-Q1,2022-R3,1,유통물류일반,final,65,0,0,,국제물류주선업에 관련된 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q2,2022-R3,2,유통물류일반,final,59,0,0,short_option|duplicated_option,"소비자기본법(법률 제17799호, 2020.12.29., 타법개정)에 의한 소비자의 기본적 권리로만 바르게 짝지어진 것은? ㉠ 물품 또는 용역을 선택함에 있어서 필요한 지식 및 …",pending,,
A,2022-R3-Q3,2022-R3,3,유통물류일반,final,57,0,0,page_footer_text,재고관리에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q8,2022-R3,8,유통물류일반,final,61,0,0,short_option,"경영성과 분석을 위해 글상자 안의 활동성 비율들을 계산 할 때 공통적으로 사용되는 요소로 가장 옳은 것은? 재고자산회전율, 고정자산회전율, 총자산회전율, 매출채권회전율",pending,,
A,2022-R3-Q9,2022-R3,9,유통물류일반,final,65,0,0,,"각 점포가 독립된 회사라는 점에서 프랜차이즈 체인방식과 같지만, 조직의 주체는 가맹점이며 전 가맹점이 경영의 의사결정에 참여한다는 차이점이 있는 연쇄점(chain)의 형태로 가장…",pending,,
A,2022-R3-Q10,2022-R3,10,유통물류일반,final,59,0,0,short_option|duplicated_option,아래 글상자의 내용을 6시그마 도입절차대로 나열한 것 으로 가장 옳은 것은? ㉠ 필요성(needs)의 구체화 ㉡ 비전의 명확화 ㉢ 계획수립 ㉣ 계획실행 ㉤ 이익평가 ㉥ 이익유지,pending,,
A,2022-R3-Q11,2022-R3,11,유통물류일반,final,59,0,0,short_option|duplicated_option,정량주문법과 정기주문법을 적용하기 유리한 경우에 대한 상대적인 비교로 가장 옳은 것은? 구분 항목 정량주문법 정기주문법 ㉠ 표준화 전용부품 표준부품 ㉡ 품목수 적음 많음 ㉢ 주문…,pending,,
A,2022-R3-Q13,2022-R3,13,유통물류일반,final,65,0,0,,공급사슬을 효율적 공급사슬과 반응적 공급사슬로 구분 하여 설계할 때 반응적 공급사슬에 대한 특징으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q14,2022-R3,14,유통물류일반,final,59,0,0,short_option|duplicated_option,"아래 글상자의 물류채산분석 회계 내용에 대한 설명으로 가장 옳지 않은 것은? 구분 회계 내용 물류채산분석 ㉠ 계산목적 물류에 관한 의사결정 ㉡ 계산대상 특정의 개선안, 대체안 ㉢…",pending,,
A,2022-R3-Q15,2022-R3,15,유통물류일반,final,65,0,0,,프로젝트 조직에 대한 내용으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q18,2022-R3,18,유통물류일반,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 용어를 순서대로 바르게 나열한 것으로 가장 옳은 것은? ( ㉠ )은/는 이질적인 생산물을 동질적인 단위로 나누는 과정을 말한다. ( ㉡ )은/는 …,pending,,
A,2022-R3-Q19,2022-R3,19,유통물류일반,final,65,0,0,,인플레이션 상황에서 급격한 가격인상 없이 매출과 수익의 손실을 막기 위해 유통기업들이 채택할 수 있는 방법 으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q20,2022-R3,20,유통물류일반,final,65,0,0,,서비스 유통의 형태인 플랫폼 비즈니스(platform business)에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q23,2022-R3,23,유통물류일반,final,65,0,0,,파욜(Fayol)의 조직원리에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q25,2022-R3,25,유통물류일반,final,65,0,0,,아래 글상자의 내용을 이용하여 작업량 접근방식 (workload approach)을 통해 확보해야 할 영업조직 규모 (영업사원수)를 계산한 것으로 옳은 것은? - 거래처: 100…,pending,,
A,2022-R3-Q27,2022-R3,27,상권분석,final,65,0,0,,"국토의 계획 및 이용에 관한 법률(법률 제18310호, 2021. 7. 20., 타법개정)에 의거한 주거 및 교육 환경 보호나 청소년 보호 등의 목적으로 오염물질 배출시설, 청소…",pending,,
A,2022-R3-Q28,2022-R3,28,상권분석,final,65,0,0,,입지의사결정 과정에서 점포의 매력도에 영향을 미치는 입지조건 평가에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q32,2022-R3,32,상권분석,final,65,0,0,,주변에 인접한 점포가 없이 큰길가에 위치한 자유입지인 고립된 점포입지에 관한 설명 중 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q33,2022-R3,33,상권분석,final,65,0,0,,"상가건물 임대차보호법(법률 제18675호, 2022.1.4.,일부 개정)에서 규정하는 환산보증금의 계산식으로 가장 옳은 것은?",pending,,
A,2022-R3-Q34,2022-R3,34,상권분석,final,65,0,0,,상권과 관련된 가맹본부와 가맹점 사이의 관계에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q35,2022-R3,35,상권분석,final,65,0,0,,상권 규정 요인에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q36,2022-R3,36,상권분석,final,65,0,0,,상권의 유형에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q37,2022-R3,37,상권분석,final,65,0,0,,상권분석에서 활용하는 소비자 대상 조사기법 중 조사 대상의 선정이 내점객조사법과 가장 유사한 것은?,pending,,
A,2022-R3-Q38,2022-R3,38,상권분석,final,57,0,0,page_footer_text,소매점포의 상권범위나 상권형태는 소매점포를 이용하는 소비자의 공간적 분포를 나타낸다. 이에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q43,2022-R3,43,상권분석,final,65,0,0,,소매점의 상품구색과 상권 및 입지 특성에 대한 설명 중 에서 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q44,2022-R3,44,상권분석,final,65,0,0,,입지조건에 대한 일반적인 평가 중에서 가장 옳은 것은?,pending,,
A,2022-R3-Q52,2022-R3,52,유통마케팅,final,65,0,0,,고객충성도와 관련된 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q54,2022-R3,54,유통마케팅,final,57,0,0,page_footer_text,매장 배치에 관한 아래의 내용 중에서 옳게 설명된 것은?,pending,,
A,2022-R3-Q55,2022-R3,55,유통마케팅,final,61,0,0,short_option,산업재에 적합한 촉진수단으로 가장 옳은 것은?,pending,,
A,2022-R3-Q57,2022-R3,57,유통마케팅,final,65,0,0,,브랜드 관리와 관련된 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q58,2022-R3,58,유통마케팅,final,65,0,0,,핵심고객관리(key account management)의 대상이 되는 핵심고객의 특징에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q60,2022-R3,60,유통마케팅,final,65,0,0,,아래 글상자에서 설명하는 경우에 적용할 수 있는 유통 마케팅전략으로 가장 옳은 것은? - 자사 제품을 효과적이고 효율적으로 전달할 수 있는 하나의 구매자 세분시장을 찾아낸 경우 …,pending,,
A,2022-R3-Q61,2022-R3,61,유통마케팅,final,65,0,0,,점포의 매장면적에 관한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q62,2022-R3,62,유통마케팅,final,65,0,0,,제조업자가 중간상들과의 거래에서 사용하는 가격할인 유형 중 판매촉진지원금에 대한 설명으로 옳은 것은?,pending,,
A,2022-R3-Q65,2022-R3,65,유통마케팅,final,65,0,0,,마이클 포터(Michael Porter)의 5요인모델(5-Forces Model)에 근거한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q66,2022-R3,66,유통마케팅,final,65,0,0,,상품구색의 다양성(variety)에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q68,2022-R3,68,유통마케팅,final,65,0,0,,고객관계를 강화하기 위한 고객관리전략으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q69,2022-R3,69,유통마케팅,final,65,0,0,,판매원의 판매활동에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q70,2022-R3,70,유통마케팅,final,65,0,0,,판매 결정을 촉구하는 판매원의 행동기법으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q71,2022-R3,71,유통정보,final,65,0,0,,인터넷 상거래의 비즈니스 모델 유형별로 세부 비즈니스 모델을 짝지어 놓은 것으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q72,2022-R3,72,유통정보,final,51,0,0,page_footer_text|short_option|duplicated_option,아래 글상자에서 암묵지에 해당하는 내용만을 모두 나열한 것으로 가장 옳은 것은? ㉠ 매뉴얼 ㉡ 숙련된 기술 ㉢ 조직 문화 ㉣ 조직의 경험 ㉤ 데이터베이스 ㉥ 컴퓨터 프로그램,pending,,
A,2022-R3-Q75,2022-R3,75,유통정보,final,65,0,0,,절차별 모바일 결제 서비스에 대한 내용 중 괄호 안에 들어갈 용어를 순서대로 나열한 것으로 가장 옳은 것은? 절차 From To 구매요청/지불 정보 전송 고객 쇼핑몰 지불 정보 …,pending,,
A,2022-R3-Q77,2022-R3,77,유통정보,final,65,0,0,,NoSQL에 관련된 내용으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q78,2022-R3,78,유통정보,final,65,0,0,,유통업체에서 활용하는 비즈니스 애널리틱스(analytics)의 유형에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2022-R3-Q79,2022-R3,79,유통정보,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 내용을 순서대로 나열한 것으로 가장 옳은 것은? 자료 정보 지식 구조화 ( ㉠ ) 단위필요 ( ㉡ ) 부가가치 ( ㉢ ) 중간 ( ㉣ ) 객관성 …,pending,,
A,2022-R3-Q80,2022-R3,80,유통정보,final,57,0,0,page_footer_text,"고객이 기존에 구매한 상품보다 가치가 높고, 성능이 우수한 상품을 추천하는 시스템을 활용하는 것을 지칭 하는 용어로 가장 옳은 것은?",pending,,
A,2022-R3-Q81,2022-R3,81,유통정보,final,65,0,0,,"아래 글상자가 설명하는 용어로 가장 옳은 것은? - Ian Foster, Carl Kesselman, Steve Tuecke에 의해 제안된 개념으로 분산 병렬 컴퓨팅의 한 분야로…",pending,,
A,2022-R3-Q82,2022-R3,82,유통정보,final,65,0,0,,유통업체의 지식관리 시스템 구축 및 활용과 관련된 설명으로 가장 옳은 것은?,pending,,
A,2022-R3-Q83,2022-R3,83,유통정보,final,65,0,0,,빅데이터 분석과 관련된 설명으로 가장 옳지 않은 것은?,pending,,
